Index,Latitude,Longitude,RMAG,VMAG,AZI,HFPA
1,1.150930282,70.50817878,1847.65065,1.635904756,-100.3913262,0.432844974
2,1.158687779,70.77502271,1847.771231,1.63433951,-100.4244653,0.421041741
3,1.173834742,70.4914587,1848.63057,1.633661779,-100.5024077,0.43333452
4,1.183088831,70.63816042,1848.440104,1.635929214,-100.4579306,0.41830518
5,1.181606436,70.43504317,1848.284919,1.63543384,-100.4775901,0.432863146
6,1.167989263,70.44283526,1848.250701,1.634047721,-100.5168143,0.41279874
7,1.176206637,70.69927796,1848.547703,1.633867911,-100.5194843,0.409919865
8,1.167677757,70.48353163,1848.100415,1.633100184,-100.3658538,0.427034492
9,1.16506305,70.76804358,1847.661222,1.636025275,-100.5047842,0.431223147
10,1.154856862,70.75837334,1848.221194,1.633023493,-100.5234021,0.434920324
11,1.174345994,70.78262066,1847.603298,1.633907249,-100.5565177,0.41336353
12,1.182318704,70.77576422,1847.896447,1.635380337,-100.4737082,0.4171988
13,1.150128404,70.43742886,1848.181617,1.634519386,-100.4353697,0.417798396
14,1.169648349,70.5519022,1848.550089,1.632937513,-100.3970301,0.415102498
15,1.140843934,70.55784111,1847.759136,1.63332199,-100.4256522,0.412792352
16,1.146058892,70.70753487,1848.346756,1.634606744,-100.5262851,0.412131715
17,1.154909749,70.4040427,1848.20374,1.635051001,-100.5052204,0.426573508
18,1.152890566,70.65823981,1848.179196,1.635408671,-100.3783742,0.411264075
19,1.168099761,70.66881819,1848.339706,1.634248301,-100.3962516,0.414987116
20,1.173686385,70.43248465,1847.63667,1.634877233,-100.3960391,0.430393644
21,1.177284766,70.44926986,1847.790259,1.633167824,-100.3679101,0.432681327
22,1.157644284,70.42722236,1847.567785,1.633211341,-100.5471732,0.419693202
23,1.170086923,70.77790623,1848.027755,1.633284591,-100.5067789,0.416284316
24,1.167750947,70.47673202,1848.3875,1.632964485,-100.4945228,0.425879791
25,1.152308565,70.69657653,1847.692215,1.63583385,-100.5544498,0.412508397
26,1.168334624,70.66687152,1847.77352,1.636055108,-100.4998105,0.429683292
27,1.14187205,70.48644243,1848.4318,1.63582512,-100.3767077,0.417056022
28,1.147808482,70.514775,1847.718721,1.635418344,-100.3839946,0.428207853
29,1.172662805,70.47364596,1848.430566,1.635259874,-100.4922128,0.429073695
30,1.159660529,70.61584521,1847.826956,1.63383684,-100.383436,0.433205868
31,1.141596577,70.49745869,1847.719602,1.634220278,-100.4689275,0.413088965
32,1.143939091,70.48508422,1848.533889,1.634930752,-100.4091318,0.426834378
33,1.149728934,70.73736322,1848.226595,1.634670118,-100.4691025,0.434789179
34,1.140413554,70.78283574,1847.745099,1.633492168,-100.5359754,0.413473685
35,1.168601877,70.58615193,1848.500457,1.634671526,-100.4351937,0.430369486
36,1.169015828,70.55654991,1848.613032,1.635822675,-100.4485937,0.432761701
37,1.163476322,70.38854404,1848.340362,1.634793728,-100.3988938,0.433654468
38,1.167223557,70.79053414,1848.077386,1.634955053,-100.4944039,0.428112124
39,1.163804587,70.80360317,1848.631206,1.636059572,-100.526584,0.419582226
40,1.183413167,70.7181789,1847.898039,1.635899904,-100.3915534,0.424499561
41,1.168070766,70.45526934,1847.572591,1.634403299,-100.3885414,0.412655606
42,1.18454251,70.77585961,1847.660641,1.633745815,-100.3714641,0.41706664
43,1.155552518,70.65344917,1847.741403,1.636075984,-100.5378438,0.432458435
44,1.149436153,70.73994687,1848.641318,1.633903253,-100.532965,0.433458007
45,1.152166242,70.42433886,1847.862773,1.633837999,-100.5356784,0.423991668
